gene_names,BRCA
RRBP1,RRBP1
CEP250,CEP250
PDCD2L,PDCD2L
ASL,ASL
ZBTB1,ZBTB10;ZBTB12;ZBTB16;ZBTB17;ZBTB1
UQCR11,UQCR11
PNKD,PNKD
PTPN12,
MTX2,MTX2
TMOD2,TMOD2
VPS13C,VPS13C
MBD4,MBD4
DCTD,
ATP1B2,ATP1B2
FXR2,
RAB2B,RAB2B
RNASE1,RNASE10;RNASE11;RNASE12;RNASE13;RNASE1
TNNI3,TNNI3K;TNNI3
APOE,APOE
XPO7,XPO7
RTN4IP1,RTN4IP1
IQCN,
JUND,JUND
H19,
RPL27,RPL27A;RPL27
VPS25,VPS25
ACAP3,ACAP3
SNRPA1,SNRPA1
DNAJB1,DNAJB11;DNAJB14
CC2D1A,CC2D1A
HSD17B7,HSD17B7P2;HSD17B7
IMMT,IMMT
MRPL35,MRPL35
UBE2G1,UBE2G1
ERAL1,ERAL1
AP3B1,
BTBD2,
MYO18B,MYO18B
ZFC3H1,ZFC3H1
BHLHE40,BHLHE40
SLC38A2,SLC38A2
CMPK2,CMPK2
PSAT1,PSAT1
AHI1,AHI1
CCT7,CCT7
DHX9,DHX9
EPC2,EPC2
BZW2,BZW2
DDX56,DDX56
MARCHF7,
IMP4,IMP4
TXN,TXN2;TXNDC11;TXNDC12;TXNDC15;TXNDC17;TXNDC2;TXNDC3;TXNDC6;TXNDC9;TXNIP;TXNL1;TXNL4A;TXNL4B;TXNRD2;TXNRD3IT1;TXN
TMOD1,TMOD1
DPM2,DPM2
KIF13A,KIF13A
YIPF3,YIPF3
PGBD1,PGBD1
ADAM10,ADAM10
PREB,PREB
KIF20B,KIF20B
ASCC1,ASCC1
RPS24,RPS24
PPIG,
ITGAV,
BMP2K,BMP2K
SEPTIN11,
PPA2,PPA2
GSTCD,GSTCD
MAPK8IP3,MAPK8IP3
NDUFA9,NDUFA9
ESD,ESD
NIPA2,NIPA2
SORD,SORD
SLC27A2,SLC27A2
FANCI,FANCI
FURIN,
UTP4,
NARF,NARFL;NARF
SLC39A3,SLC39A3
SAE1,SAE1
